cue,cui,nombre,sector,domicilio,ambito,lat,lon
060875400,608100361,JARDÍN DE INFANTES Nº911 JUANA MANSO,Estatal,JUAN JOSÉ PASO 175,Rural,-33.994291405046326,-60.732118047521354
060876300,608100390,JARDÍN DE INFANTES Nº914 SARA CH. DE ECLESTON,Estatal,ACCESO GASCON CALVELO - SECTOR A,Rural,-33.91418721927147,-60.83109665362658
060753300,608100414,JARDÍN DE INFANTES Nº916 NIÑAS DE AYOHUMA,Estatal,YRIGOYEN E/ SARMIENTO Y SAN MARTÍN 276,Rural,-33.733868070745274,-60.16894813908117
060187400,608101259,JARDÍN DE INFANTES Nº920 DR. VICTOR FELIX VILLEGAS,Estatal,LEOPOLDO LUGONES,Rural,-33.83059712128288,-60.488964500562304
062215500,608100613,JARDÍN DE INFANTES RURAL Nº10,Estatal,PARAJE GORNATI,Rural,-33.73955957130642,-60.485069286993294
062145300,608100530,JARDÍN DE INFANTES RURAL Nº2 SILVERO VAZQUEZ,Estatal,RUTA 32 - ACCESO A ARROYO DULCE-   VILLA SAN JOSE,Rural,-34.094493728117726,-60.41392171817624
062161100,608100548,JARDÍN DE INFANTES RURAL Nº3,Estatal,ZONA RURAL,Rural,-33.83715376073599,-60.55888321193286
062161200,608100553,JARDÍN DE INFANTES RURAL Nº4,Estatal,ZONA RURAL,Rural,-33.67214413390474,-60.29228703860719
061548100,608100841,JARDÍN DE INFANTES RURAL Nº5,Estatal,"RUTA 188 KM 94,5",Rural,-34.08227976116336,-60.638556881230684
061548200,608100576,JARDÍN DE INFANTES RURAL Nº6,Estatal,ZONA RURAL,Rural,-33.72821292957196,-60.82841612227394
061716900,608100582,JARDÍN DE INFANTES RURAL Nº7,Estatal,RUTA 178 KM. 13   CAMPO BUENA VISTA - ESC. PRIMARIA Nº34,Rural,-33.85475045704582,-60.68076508911369
061548300,608100595,JARDÍN DE INFANTES RURAL Nº8,Estatal,MIGUEL DÁVILA 450,Rural,-33.708359495732275,-60.582123498923124
062197500,608100609,JARDÍN DE INFANTES RURAL Nº9,Estatal,PEHUAJÓ   MANTIALES CHICO,Rural,-33.74749676805938,-60.32328413501263
060147501,608100049,CENTRO DE ADULTOS Nº703/01,Estatal,BARRANCAS DEL PARANAÁ Y SOLIS,Urbano,-33.90562919819484,-60.59360748875617
